""	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"
"X57c"	0.367329792699012	0.40262172980957	0.147701119758451	0.164186634316315	-0.0342107970153318	-0.079080070687693
"X60a"	0.388278720221476	0.39445852131259	0.10593057599147	0.193156067215256	-0.04019717277825	-0.0532651555010527
"X60b"	0.374548714929441	0.385750484134526	0.13175498614757	0.19921823732596	-0.0332130704002173	-0.0570172058817487
"X60c"	0.374548714929441	0.385750484134526	0.13175498614757	0.19921823732596	-0.0332130704002173	-0.0570172058817487
"X65a"	0.130859627256811	-0.0299785949278781	0.304777981173856	0.137662501811863	0.0688149667628442	-0.0789834428554545
"X65b"	0.155959914013265	0.0690909050644805	0.469558508614862	-0.0910534603985324	-0.0690706654797701	0.0776277974033994
"X65d"	0.17037326303962	-0.0856693608873948	0.484705141010909	0.0328006955843491	0.0920104644282106	-0.0918499626114424
"X65e"	0.0803222163338505	-0.110620634964355	0.357838718788496	0.0536475952718076	0.204265055480799	-0.334289934729746
"X73a"	0.500597805190382	0.249331216936405	-0.00710125921323489	-0.330221566544401	0.0703903261269442	-0.0228989046155965
"X73b"	0.499650534326576	0.154395160455216	-0.0235760675602067	-0.288707428183993	0.0750990117754386	0.0548544040903332
"X73c"	0.521909476793631	0.1917203772989	-0.0353340745050908	-0.353785225160721	0.0450371413780316	0.0244174753828373
"X85a"	0.58236099724293	-0.059317181979307	-0.0544966726799596	0.150638251878051	0.159003925951761	0.102502026283247
"X85b"	0.58015152317597	-0.102334280340357	-0.109651382054351	0.0475339473139679	0.0837089610474616	0.0640527809100399
"X85c"	0.557760040343176	-0.113225063433879	-0.0740068959262501	0.0620636614578981	-0.0644142340688548	-0.000378843445414633
"X92a"	0.153443345949827	-0.0798739531617383	0.349098320325534	0.152518337353386	0.171406772743817	-0.126294717567031
"X92b"	0.152697250134902	-0.0399837395551252	0.30494856671018	-0.0628140468420578	-0.0983202634429393	0.231470295609052
"X92c"	0.169005826858656	0.0691453719366032	0.479742624886345	-0.00427449371408254	-0.0938726446181216	0.302096827151087
"X92d"	0.186674194487126	-0.143112162486148	0.327362894424666	-0.0832590962596818	0.0745597685106416	0.0305650044789987
"X92e"	0.0947560366975464	-0.139077184965489	0.437488496119498	-0.00759406802903709	0.214993607576311	-0.267655928188456
